"","Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
"165",2015-04-19 02:36:48,FALSE,FALSE,0,FALSE,2015-04-19 02:36:48,0
"166",2015-04-19 11:38:08,TRUE,FALSE,0,FALSE,2015-04-19 11:38:08,0
"167",2015-04-20 02:47:34,FALSE,FALSE,0,FALSE,2015-04-20 02:47:34,0
"168",2015-04-20 11:37:51,TRUE,FALSE,0,FALSE,2015-04-20 11:37:51,0
"169",2015-04-21 02:40:03,FALSE,FALSE,0,FALSE,2015-04-21 02:40:03,0
"170",2015-04-21 11:29:57,TRUE,FALSE,0,FALSE,2015-04-21 11:29:57,0
"171",2015-04-22 02:50:18,FALSE,FALSE,0,FALSE,2015-04-22 02:50:18,0
"172",2015-04-22 11:28:30,TRUE,FALSE,0,FALSE,2015-04-22 11:28:30,0
"173",2015-04-23 02:48:01,FALSE,FALSE,0,FALSE,2015-04-23 02:48:01,0
"174",2015-04-23 11:38:06,TRUE,FALSE,0,FALSE,2015-04-23 11:38:06,0
"175",2015-04-24 02:50:15,FALSE,FALSE,0,FALSE,2015-04-24 02:50:15,0
"176",2015-04-24 11:33:46,TRUE,FALSE,0,FALSE,2015-04-24 11:33:46,0
"177",2015-04-25 02:55:05,FALSE,FALSE,0,FALSE,2015-04-25 02:55:05,0
"178",2015-04-25 11:24:59,TRUE,FALSE,0,FALSE,2015-04-25 11:24:59,0
"179",2015-04-26 02:48:42,FALSE,FALSE,0,FALSE,2015-04-26 02:48:42,0
"180",2015-04-26 11:23:31,TRUE,FALSE,0,FALSE,2015-04-26 11:23:31,0
"181",2015-04-27 02:54:37,FALSE,FALSE,0,FALSE,2015-04-27 02:54:37,0
"182",2015-04-27 11:11:33,TRUE,FALSE,0,FALSE,2015-04-27 11:11:33,0
"183",2015-04-28 03:06:50,FALSE,FALSE,0,FALSE,2015-04-28 03:06:50,0
"184",2015-04-28 11:09:14,TRUE,FALSE,0,FALSE,2015-04-28 11:09:14,0
"185",2015-04-29 03:03:46,FALSE,FALSE,0,FALSE,2015-04-29 03:03:46,0
"186",2015-04-29 11:06:45,TRUE,FALSE,0,FALSE,2015-04-29 11:06:45,0
"187",2015-04-30 03:00:27,FALSE,FALSE,0,FALSE,2015-04-30 03:00:27,0
"188",2015-04-30 11:10:00,TRUE,FALSE,0,FALSE,2015-04-30 11:10:00,0
"189",2015-05-01 03:03:19,FALSE,FALSE,0,FALSE,2015-05-01 03:03:19,0
"190",2015-05-01 11:06:35,TRUE,FALSE,0,FALSE,2015-05-01 11:06:35,0
"191",2015-05-02 03:08:04,FALSE,FALSE,0,FALSE,2015-05-02 03:08:04,0
"192",2015-05-02 11:06:46,TRUE,FALSE,0,FALSE,2015-05-02 11:06:46,0
"193",2015-05-03 03:11:52,FALSE,FALSE,0,FALSE,2015-05-03 03:11:52,0
"194",2015-05-03 11:08:12,TRUE,FALSE,0,FALSE,2015-05-03 11:08:12,0
"195",2015-05-04 03:18:04,FALSE,FALSE,0,FALSE,2015-05-04 03:18:04,0
"196",2015-05-04 10:57:15,TRUE,FALSE,0,FALSE,2015-05-04 10:57:15,0
